# H99_CNYTCNYT_counts.txt
# Counts of Ssd1-binding motif CNYTCNYT in Cryptococcus neoformans H99 messenger RNAs
# mRNA sequences taken from Wallace, Maufrais, et al 2020, https://doi.org/10.5281/zenodo.3627875
# Edward Wallace, Edward.Wallace@ed.ac.uk, 2024
#
# Columns
#   id:          Gene id, CNAG_00001 etc.
#   count_5UTR:  CNYTCNYT counts in annotated 5'UTR
#   length_5UTR: length in nt of annotated 5'UTR
#   count_CDS:   CNYTCNYT counts in annotated coding sequence (CDS)
#   length_CDS: length in nt of annotated CDS
#   count_3UTR:  CNYTCNYT counts in annotated 3'UTR
#   length_3UTR: length in nt of annotated 3'UTR
#   count_mRNA:  CNYTCNYT counts in annotated 5'UTR = count_5UTR + count_CDS + count_mRNA
#   length_mRNA: length in nt of annotated mRNA = length_5UTR + length_CDS + length_3UTR
#
id	count_5UTR	length_5UTR	count_CDS	length_CDS	count_3UTR	length_3UTR	count_mRNA	length_mRNA
CNAG_02054	0	120	3	1206	0	87	3	1413
CNAG_02055	0	161	2	1194	0	97	2	1452
CNAG_02056	2	73	1	1194	0	45	3	1312
CNAG_02057	0	183	0	954	1	216	1	1353
CNAG_02058	1	1480	0	537	1	695	2	2712
CNAG_02059	0	56	0	837	0	212	0	1105
CNAG_02060	1	223	2	933	0	204	3	1360
CNAG_02062	0	144	4	3192	0	72	4	3408
CNAG_02063	2	1049	5	2622	0	317	7	3988
CNAG_02064	0	134	14	5541	1	129	15	5804
CNAG_02065	0	8	2	1074	0	282	2	1364
CNAG_02066	1	475	1	1428	0	375	2	2278
CNAG_02067	0	53	2	909	0	207	2	1169
CNAG_02068	0	43	4	1296	0	213	4	1552
CNAG_02069	0	177	0	726	0	168	0	1071
CNAG_02070	0	243	1	519	0	152	1	914
CNAG_02071	0	459	6	2508	0	358	6	3325
CNAG_02072	1	72	3	993	0	190	4	1255
CNAG_02073	0	16	6	2319	0	94	6	2429
CNAG_02074	0	64	3	1581	0	113	3	1758
CNAG_02075	0	45	2	945	0	48	2	1038
CNAG_02076	0	70	2	1899	0	126	2	2095
CNAG_02077	0	80	6	1086	0	65	6	1231
CNAG_02078	0	253	4	1236	0	75	4	1564
CNAG_02079	2	109	6	3444	0	221	8	3774
CNAG_02080	0	45	3	1110	0	97	3	1252
CNAG_02081	0	36	0	1812	0	91	0	1939
CNAG_02082	0	66	2	321	0	53	2	440
CNAG_02083	1	600	4	1932	0	177	5	2709
CNAG_02084	0	70	1	1125	0	38	1	1233
CNAG_02085	0	82	4	1437	0	270	4	1789
CNAG_02086	0	101	0	1242	0	309	0	1652
CNAG_02087	0	420	2	1215	0	116	2	1751
CNAG_02088	4	342	2	1425	0	103	6	1870
CNAG_02089	0	63	6	2145	1	222	7	2430
CNAG_02090	3	960	0	1077	0	239	3	2276
CNAG_02091	1	100	0	1200	1	223	2	1523
CNAG_02092	0	49	5	3318	0	113	5	3480
CNAG_02093	0	14	0	810	0	62	0	886
CNAG_02094	0	84	1	963	0	171	1	1218
CNAG_02095	6	434	2	1440	0	372	8	2246
CNAG_02096	0	86	2	1155	0	155	2	1396
CNAG_02097	1	72	4	915	0	83	5	1070
CNAG_02099	0	71	19	7545	0	139	19	7755
CNAG_02100	1	279	7	4317	0	241	8	4837
CNAG_02101	1	68	1	564	1	112	3	744
CNAG_02102	1	90	0	1821	0	112	1	2023
CNAG_02103	0	511	11	5688	1	321	12	6520
CNAG_02104	0	130	1	894	0	74	1	1098
CNAG_02105	0	17	0	393	0	151	0	561
CNAG_02106	0	108	3	696	0	79	3	883
CNAG_02107	2	73	2	1503	0	141	4	1717
CNAG_02108	0	93	4	1923	0	90	4	2106
CNAG_02109	0	180	1	4035	0	90	1	4305
CNAG_02110	1	48	9	2613	0	132	10	2793
CNAG_02111	0	106	4	1644	0	101	4	1851
CNAG_02112	0	63	0	471	0	85	0	619
CNAG_02113	0	199	0	495	0	96	0	790
CNAG_02114	2	399	0	1914	0	237	2	2550
CNAG_02115	0	106	2	723	0	167	2	996
CNAG_02116	1	297	0	549	0	292	1	1138
CNAG_02117	1	106	3	1203	0	66	4	1375
CNAG_02118	0	153	0	1275	0	192	0	1620
CNAG_02119	0	178	1	1467	0	239	1	1884
CNAG_02120	0	48	3	1107	0	82	3	1237
CNAG_02121	0	95	4	2337	0	141	4	2573
CNAG_02122	0	56	1	1110	1	124	2	1290
CNAG_02123	0	127	3	1149	0	175	3	1451
CNAG_02124	2	420	0	1677	1	236	3	2333
CNAG_02125	9	1206	1	1281	0	125	10	2612
CNAG_02126	0	150	0	219	0	193	0	562
CNAG_02127	0	87	0	972	0	63	0	1122
CNAG_02128	0	112	1	747	0	130	1	989
CNAG_02129	0	103	1	2727	0	98	1	2928
CNAG_02130	0	92	2	1848	1	596	3	2536
CNAG_02131	1	101	2	747	0	132	3	980
CNAG_02132	0	31	4	1635	0	152	4	1818
CNAG_02133	0	73	1	930	0	198	1	1201
CNAG_02134	0	40	4	2037	0	122	4	2199
CNAG_02135	0	68	1	1146	0	39	1	1253
CNAG_02136	0	46	0	381	0	208	0	635
CNAG_02137	0	98	5	2454	0	147	5	2699
CNAG_02138	0	127	5	4260	0	100	5	4487
CNAG_02139	2	417	1	1536	1	409	4	2362
CNAG_02140	1	54	1	435	0	85	2	574
CNAG_02141	0	101	2	1920	0	135	2	2156
CNAG_02143	0	188	5	1983	0	106	5	2277
CNAG_02144	0	46	3	681	1	261	4	988
CNAG_02145	0	40	1	489	1	1378	2	1907
CNAG_02146	0	0	2	1314	0	38	2	1352
CNAG_02147	0	48	2	1005	0	118	2	1171
CNAG_02148	0	107	0	447	0	119	0	673
CNAG_02149	0	87	1	363	0	58	1	508
CNAG_02150	2	648	3	1221	0	69	5	1938
CNAG_02151	0	71	11	2892	0	45	11	3008
CNAG_02152	0	40	10	1710	2	1868	12	3618
CNAG_02153	0	75	2	1695	0	333	2	2103
CNAG_02154	0	26	4	2523	0	196	4	2745
CNAG_02155	0	0	2	1461	0	32	2	1493
CNAG_02156	1	59	2	1014	0	130	3	1203
CNAG_02157	0	48	3	1602	0	49	3	1699
CNAG_02159	1	1118	1	753	0	63	2	1934
CNAG_02160	4	467	1	1338	1	143	6	1948
CNAG_02161	0	74	5	3354	0	176	5	3604
CNAG_02162	0	51	0	588	0	67	0	706
CNAG_02163	0	10	1	1131	1	170	2	1311
CNAG_02164	1	107	5	3324	0	257	6	3688
CNAG_02165	0	115	5	2787	0	392	5	3294
CNAG_02166	2	370	6	5361	0	265	8	5996
CNAG_02167	1	250	5	2235	0	97	6	2582
CNAG_02168	1	272	2	4401	0	291	3	4964
CNAG_02169	0	95	3	1338	0	533	3	1966
CNAG_02170	1	200	2	1770	0	208	3	2178
CNAG_02171	0	83	3	2145	0	86	3	2314
CNAG_02172	1	117	8	5649	0	177	9	5943
CNAG_02173	0	52	1	822	0	61	1	935
CNAG_02174	0	61	2	1764	0	210	2	2035
CNAG_02175	1	150	6	4380	0	207	7	4737
CNAG_02176	1	236	1	2193	1	1229	3	3658
CNAG_02177	1	226	1	921	2	366	4	1513
CNAG_02178	0	120	9	2712	0	30	9	2862
CNAG_02179	2	117	4	2355	0	40	6	2512
CNAG_02180	1	377	5	2859	0	138	6	3374
CNAG_02181	0	70	1	1041	0	56	1	1167
CNAG_02182	1	119	3	1041	0	129	4	1289
CNAG_02183	0	67	12	6021	0	24	12	6112
CNAG_02184	0	164	1	375	0	122	1	661
CNAG_02185	0	122	1	1632	0	112	1	1866
CNAG_02186	0	72	2	600	1	86	3	758
CNAG_02187	0	121	5	807	0	127	5	1055
CNAG_02188	3	397	0	759	0	369	3	1525
CNAG_02189	4	296	2	1599	0	178	6	2073
CNAG_02190	0	94	1	267	0	147	1	508
CNAG_02191	0	82	3	495	0	35	3	612
CNAG_02192	0	205	1	843	0	161	1	1209
CNAG_02193	0	28	1	924	0	106	1	1058
CNAG_02194	0	85	5	2085	0	119	5	2289
CNAG_02195	0	75	1	2358	0	64	1	2497
CNAG_02196	0	92	2	1173	0	246	2	1511
CNAG_02197	0	54	1	954	0	90	1	1098
CNAG_02198	0	46	1	690	1	68	2	804
CNAG_02199	0	64	1	1101	0	29	1	1194
CNAG_02200	0	47	1	582	1	73	2	702
CNAG_02201	0	18	1	1671	0	106	1	1795
CNAG_02202	0	65	1	612	0	85	1	762
CNAG_02203	1	40	3	2733	0	126	4	2899
CNAG_02204	1	111	3	1095	0	49	4	1255
CNAG_02205	2	406	1	1116	2	422	5	1944
CNAG_02206	3	477	0	285	0	43	3	805
CNAG_02207	0	147	4	1065	0	130	4	1342
CNAG_02208	0	179	3	2592	0	141	3	2912
CNAG_02209	2	68	0	1713	2	148	4	1929
CNAG_02210	0	238	5	2046	0	37	5	2321
CNAG_02211	1	140	1	1080	0	107	2	1327
CNAG_02212	1	65	2	2862	0	80	3	3007
CNAG_02213	1	62	0	1575	0	149	1	1786
CNAG_02214	0	42	0	885	0	116	0	1043
CNAG_02215	0	98	0	576	0	90	0	764
CNAG_02216	0	147	9	5538	0	195	9	5880
CNAG_02217	1	646	5	2796	0	172	6	3614
CNAG_02218	1	103	5	3042	0	156	6	3301
CNAG_02219	0	149	1	1605	0	202	1	1956
CNAG_02220	0	268	6	2856	3	193	9	3317
CNAG_02221	0	133	5	1062	0	25	5	1220
CNAG_02222	1	85	2	1104	0	45	3	1234
CNAG_02223	1	160	2	4491	0	93	3	4744
CNAG_02224	0	118	2	1233	0	25	2	1376
CNAG_02225	5	535	3	1296	0	167	8	1998
CNAG_02226	0	338	2	1347	0	257	2	1942
CNAG_02227	0	111	0	291	0	242	0	644
CNAG_02228	0	44	1	774	1	590	2	1408
CNAG_02229	2	183	0	1011	0	72	2	1266
CNAG_02230	0	163	3	2556	0	214	3	2933
CNAG_02231	0	19	0	1068	0	65	0	1152
CNAG_02232	0	42	1	1323	0	34	1	1399
CNAG_02233	2	96	11	6741	0	43	13	6880
CNAG_02234	0	95	0	708	0	52	0	855
CNAG_02235	1	79	1	825	0	381	2	1285
CNAG_02236	2	182	1	933	1	294	4	1409
CNAG_02237	0	120	4	3240	0	102	4	3462
CNAG_02238	0	149	2	528	0	44	2	721
CNAG_02239	1	86	1	1317	0	100	2	1503
CNAG_02240	0	139	2	2244	1	207	3	2590
CNAG_02253	0	222	0	189	0	184	0	595
CNAG_02254	0	233	4	1638	0	169	4	2040
CNAG_02255	0	172	0	1119	0	19	0	1310
CNAG_02257	1	123	1	636	0	63	2	822
CNAG_02258	0	155	0	1953	0	146	0	2254
CNAG_02259	0	162	1	1485	0	35	1	1682
CNAG_02260	1	98	0	972	0	154	1	1224
CNAG_02261	0	62	0	954	0	491	0	1507
CNAG_02262	1	219	11	4953	0	60	12	5232
CNAG_02263	0	81	2	1011	0	140	2	1232
CNAG_02264	1	130	3	2190	3	343	7	2663
CNAG_02265	0	71	11	3426	1	203	12	3700
CNAG_02266	0	91	2	690	1	163	3	944
CNAG_02267	0	53	0	1008	0	41	0	1102
CNAG_02268	0	57	2	1215	0	38	2	1310
CNAG_02269	0	14	1	1272	0	109	1	1395
CNAG_02270	3	699	1	981	0	122	4	1802
CNAG_02280	0	86	1	651	0	69	1	806
CNAG_02281	0	118	3	1968	0	105	3	2191
CNAG_02282	1	82	3	1524	4	836	8	2442
CNAG_02283	1	171	2	1734	0	117	3	2022
CNAG_02284	0	102	2	1515	0	221	2	1838
CNAG_02285	2	120	0	459	0	129	2	708
CNAG_02286	1	155	7	4578	1	273	9	5006
CNAG_02287	2	181	3	1533	0	58	5	1772
CNAG_02288	0	260	2	1029	0	63	2	1352
CNAG_02289	0	114	1	723	0	161	1	998
CNAG_02290	1	87	3	1257	0	56	4	1400
CNAG_02291	0	95	1	366	1	147	2	608
CNAG_02292	0	59	0	897	0	79	0	1035
CNAG_02293	0	73	5	2511	0	93	5	2677
CNAG_02294	0	82	8	1749	0	48	8	1879
CNAG_02295	0	116	1	1287	0	63	1	1466
CNAG_02296	1	113	4	975	0	97	5	1185
CNAG_02297	0	93	0	429	2	213	2	735
CNAG_02298	0	58	9	3999	0	92	9	4149
CNAG_02299	1	339	2	1671	0	81	3	2091
CNAG_02300	5	209	7	2508	1	220	13	2937
CNAG_02301	0	85	4	1554	0	101	4	1740
CNAG_02302	1	315	1	936	0	188	2	1439
CNAG_02303	0	88	2	3909	0	50	2	4047
CNAG_02304	0	29	4	1032	0	112	4	1173
CNAG_02305	2	392	1	1842	0	60	3	2294
CNAG_02306	0	131	4	1014	0	112	4	1257
CNAG_02307	0	102	0	996	0	53	0	1151
CNAG_02308	3	315	1	1032	0	63	4	1410
CNAG_02309	2	91	2	426	1	48	5	565
CNAG_02310	1	82	1	816	2	189	4	1087
CNAG_02311	0	32	5	1962	0	23	5	2017
CNAG_02312	0	58	6	2805	0	265	6	3128
CNAG_02313	1	82	6	603	1	155	8	840
CNAG_02314	1	101	3	1545	0	68	4	1714
CNAG_02315	0	66	1	840	0	101	1	1007
CNAG_02316	0	115	1	816	0	291	1	1222
CNAG_02317	0	56	3	1728	0	34	3	1818
CNAG_02318	0	78	3	2319	0	74	3	2471
CNAG_02319	2	83	2	1917	1	277	5	2277
CNAG_02321	0	216	1	2799	0	127	1	3142
CNAG_02322	1	182	5	2565	0	329	6	3076
CNAG_02323	0	235	2	2829	1	104	3	3168
CNAG_02324	1	154	1	1782	0	109	2	2045
CNAG_02325	0	73	2	1089	1	38	3	1200
CNAG_02326	3	137	0	1857	0	65	3	2059
CNAG_02327	0	78	7	1641	0	102	7	1821
CNAG_02328	0	93	3	2439	0	69	3	2601
CNAG_02330	0	58	1	483	0	166	1	707
CNAG_02331	1	55	4	582	0	94	5	731
CNAG_02332	0	74	2	1065	0	129	2	1268
CNAG_02333	0	112	1	2136	0	115	1	2363
CNAG_02334	3	889	0	744	0	242	3	1875
CNAG_02335	0	172	4	1524	0	138	4	1834
CNAG_02336	1	296	0	1920	0	47	1	2263
CNAG_02337	0	109	1	693	0	97	1	899
CNAG_02338	0	103	0	606	2	248	2	957
CNAG_02339	1	258	3	981	0	138	4	1377
CNAG_02340	0	76	1	480	0	83	1	639
CNAG_02341	1	175	4	3618	0	164	5	3957
CNAG_02342	0	97	3	1284	0	121	3	1502
CNAG_02343	0	63	7	2025	0	98	7	2186
CNAG_02344	1	346	2	642	0	107	3	1095
CNAG_02345	0	107	3	1713	1	950	4	2770
CNAG_02347	1	132	1	369	0	167	2	668
CNAG_02348	2	91	0	576	1	171	3	838
CNAG_02349	0	91	5	2079	0	54	5	2224
CNAG_02350	0	282	0	873	0	62	0	1217
CNAG_02351	3	265	4	1905	2	400	9	2570
CNAG_02353	1	418	4	2517	0	140	5	3075
CNAG_02354	0	17	2	1347	1	48	3	1412
CNAG_02355	0	93	9	1401	0	57	9	1551
CNAG_02356	0	21	4	864	0	127	4	1012
CNAG_02357	2	311	3	1866	0	305	5	2482
CNAG_02358	0	58	3	1035	0	26	3	1119
CNAG_02359	0	51	1	324	0	158	1	533
CNAG_02360	0	199	0	738	0	102	0	1039
CNAG_02361	0	438	3	1482	0	135	3	2055
CNAG_02362	0	98	0	771	0	439	0	1308
CNAG_02363	1	155	6	1542	0	59	7	1756
CNAG_02364	0	20	0	1254	0	467	0	1741
CNAG_02365	0	292	2	1656	0	59	2	2007
CNAG_02366	0	162	3	1506	0	52	3	1720
CNAG_02367	1	63	1	642	2	264	4	969
CNAG_02368	0	188	0	1704	0	194	0	2086
CNAG_02371	0	78	1	1071	1	81	2	1230
CNAG_02372	0	50	3	933	0	202	3	1185
CNAG_02373	0	77	4	2019	0	40	4	2136
CNAG_02374	0	132	3	2619	0	125	3	2876
CNAG_02375	1	172	2	2484	0	71	3	2727
CNAG_02376	0	103	1	1125	1	88	2	1316
CNAG_02377	0	81	4	1434	0	54	4	1569
CNAG_02378	0	88	0	678	0	90	0	856
CNAG_02381	1	97	0	1440	0	0	1	1537
CNAG_02382	0	39	2	864	1	198	3	1101
CNAG_02383	0	73	4	1281	0	163	4	1517
CNAG_02384	1	100	2	711	0	59	3	870
CNAG_02385	1	49	2	1290	1	53	4	1392
CNAG_02386	0	69	1	972	0	88	1	1129
CNAG_02387	0	252	4	1650	1	294	5	2196
CNAG_02388	0	437	1	804	0	136	1	1377
CNAG_02389	3	866	5	3294	0	145	8	4305
CNAG_02392	3	1730	0	708	0	1328	3	3766
CNAG_02393	2	364	6	4527	0	172	8	5063
CNAG_02394	1	93	0	843	0	66	1	1002
CNAG_02395	2	309	2	2361	0	257	4	2927
CNAG_02396	0	105	0	1332	0	43	0	1480
CNAG_02397	0	121	5	1776	0	54	5	1951
CNAG_02398	0	293	6	4008	0	184	6	4485
CNAG_02399	4	260	2	1440	0	97	6	1797
CNAG_02400	0	128	1	897	0	90	1	1115
CNAG_02401	0	87	5	2610	0	69	5	2766
CNAG_02402	1	73	5	4371	0	53	6	4497
CNAG_02403	1	81	2	354	0	39	3	474
CNAG_02404	0	110	2	1671	0	127	2	1908
CNAG_02405	0	245	3	1326	0	220	3	1791
CNAG_02406	1	53	3	2100	0	231	4	2384
CNAG_02407	0	49	3	2616	0	197	3	2862
CNAG_02408	0	171	0	921	0	130	0	1222
CNAG_02409	1	100	2	1143	0	109	3	1352
CNAG_02412	1	55	0	384	0	79	1	518
CNAG_02413	2	229	3	1827	3	672	8	2728
CNAG_02414	0	71	0	408	0	58	0	537
CNAG_02415	0	212	2	1413	0	133	2	1758
CNAG_02416	2	60	2	195	0	141	4	396
CNAG_02417	0	56	4	2604	0	107	4	2767
CNAG_02418	1	79	2	1803	0	112	3	1994
CNAG_02419	0	57	4	2439	0	64	4	2560
CNAG_02420	3	363	2	1305	0	201	5	1869
CNAG_02421	0	38	3	900	0	58	3	996
CNAG_02422	0	53	6	516	0	98	6	667
CNAG_02423	1	194	2	1440	2	763	5	2397
CNAG_02424	0	101	4	2661	1	86	5	2848
CNAG_02425	0	30	3	873	0	34	3	937
CNAG_02426	0	51	4	3096	0	50	4	3197
CNAG_02427	0	283	3	609	0	86	3	978
CNAG_02428	1	112	2	2466	0	37	3	2615
CNAG_02430	2	540	14	4893	0	185	16	5618
CNAG_02431	2	133	1	963	0	69	3	1165
CNAG_02432	0	203	3	3081	0	195	3	3479
CNAG_02433	0	199	2	969	0	123	2	1291
CNAG_02434	0	116	1	309	0	130	1	555
CNAG_02435	0	29	1	1182	1	169	2	1380
CNAG_02436	0	113	1	1782	0	59	1	1954
CNAG_02437	1	54	13	4452	0	63	14	4569
CNAG_02438	0	49	0	1149	0	94	0	1292
CNAG_02439	0	140	1	615	0	100	1	855
CNAG_02440	1	108	5	2343	0	92	6	2543
CNAG_02441	1	357	2	1290	0	229	3	1876
CNAG_02442	0	80	0	663	0	180	0	923
CNAG_02443	1	100	0	240	0	46	1	386
CNAG_02444	0	62	2	1041	0	155	2	1258
CNAG_02445	1	169	5	1671	0	233	6	2073
CNAG_02446	1	93	1	564	0	38	2	695
CNAG_02447	1	198	0	528	0	298	1	1024
CNAG_02448	0	138	3	567	0	0	3	705
CNAG_02449	0	84	3	1836	0	122	3	2042
CNAG_02452	0	118	2	1101	0	225	2	1444
CNAG_02453	0	126	11	4326	0	129	11	4581
CNAG_02454	0	33	2	2172	0	127	2	2332
CNAG_02455	1	218	7	1731	1	175	9	2124
CNAG_02457	0	176	1	2775	2	358	3	3309
CNAG_02458	2	116	6	3453	0	182	8	3751
CNAG_02459	0	20	1	1860	0	91	1	1971
CNAG_02460	0	54	1	1296	0	114	1	1464
CNAG_02463	1	246	3	1359	0	159	4	1764
CNAG_02464	1	441	4	3921	0	75	5	4437
CNAG_02465	1	356	1	1413	0	173	2	1942
CNAG_02466	0	263	3	2163	0	141	3	2567
CNAG_02467	0	50	7	3123	0	129	7	3302
CNAG_02468	0	43	4	2820	2	1156	6	4019
CNAG_02469	0	48	2	1158	4	526	6	1732
CNAG_02470	1	108	6	1629	0	75	7	1812
CNAG_02471	1	80	2	876	0	78	3	1034
CNAG_02472	0	84	5	1890	0	201	5	2175
CNAG_02473	2	383	3	726	0	233	5	1342
CNAG_02475	1	158	6	1914	0	126	7	2198
CNAG_02476	1	151	4	2244	0	941	5	3336
CNAG_02477	1	83	3	1182	0	173	4	1438
CNAG_02478	1	387	3	930	0	50	4	1367
CNAG_02479	1	726	2	1770	0	170	3	2666
CNAG_02480	1	78	3	1899	0	126	4	2103
CNAG_02481	0	112	4	1212	0	54	4	1378
CNAG_02482	0	82	1	597	2	75	3	754
CNAG_02483	0	1	1	1248	0	0	1	1249
CNAG_02484	1	59	2	660	0	93	3	812
CNAG_02485	1	78	0	867	0	98	1	1043
CNAG_02486	1	132	0	1002	0	68	1	1202
CNAG_02487	1	67	5	894	0	196	6	1157
CNAG_02488	0	12	10	2868	0	168	10	3048
CNAG_02489	1	334	1	1086	0	146	2	1566
CNAG_02490	0	54	1	2166	1	2099	2	4319
CNAG_02491	1	66	2	1092	0	118	3	1276
CNAG_02492	0	183	0	504	0	121	0	808
CNAG_02493	0	329	1	918	0	153	1	1400
CNAG_02494	0	124	1	2001	0	88	1	2213
CNAG_02495	1	96	2	1266	0	80	3	1442
CNAG_02496	1	44	3	738	0	104	4	886
CNAG_02497	2	636	4	1707	0	208	6	2551
CNAG_02498	0	69	10	3852	1	146	11	4067
CNAG_02499	0	310	2	495	0	43	2	848
CNAG_02500	0	91	4	1656	0	36	4	1783
CNAG_02501	0	67	1	873	0	139	1	1079
CNAG_02502	1	125	4	1836	1	121	6	2082
CNAG_02503	0	123	1	558	0	103	1	784
CNAG_02504	3	130	0	828	0	125	3	1083
CNAG_02505	0	75	2	1695	0	217	2	1987
CNAG_02506	0	99	5	723	0	179	5	1001
CNAG_02507	0	75	7	1164	0	143	7	1382
CNAG_02508	1	157	2	675	0	75	3	907
CNAG_02509	1	233	5	1134	0	105	6	1472
CNAG_02510	1	55	1	1683	3	413	5	2151
CNAG_02511	0	293	1	1101	1	338	2	1732
CNAG_02512	1	85	2	3141	0	312	3	3538
CNAG_02514	0	33	1	1236	0	99	1	1368
CNAG_02515	0	172	3	978	0	53	3	1203
CNAG_02516	2	993	5	1851	0	98	7	2942
CNAG_02517	3	567	1	924	0	54	4	1545
CNAG_02519	0	96	0	465	0	92	0	653
CNAG_02520	0	67	0	1377	0	57	0	1501
CNAG_02521	2	269	6	891	0	111	8	1271
CNAG_02522	1	201	1	1086	1	379	3	1666
CNAG_02523	2	248	6	2835	1	1535	9	4618
CNAG_02524	0	158	6	2682	0	113	6	2953
CNAG_02525	0	85	1	2958	3	1032	4	4075
CNAG_02526	0	102	1	645	0	114	1	861
CNAG_02527	1	143	3	1701	1	264	5	2108
CNAG_02528	0	94	3	2694	0	228	3	3016
CNAG_02529	0	84	1	315	0	83	1	482
CNAG_02530	1	214	2	2247	0	150	3	2611
CNAG_02531	0	23	4	1197	1	267	5	1487
CNAG_02532	1	174	3	1122	0	53	4	1349
CNAG_02533	0	265	6	1464	0	277	6	2006
CNAG_02534	0	42	3	1053	0	135	3	1230
CNAG_02535	0	44	0	780	3	487	3	1311
CNAG_02536	1	71	3	1563	0	109	4	1743
CNAG_02538	0	0	1	906	0	0	1	906
CNAG_02539	1	155	2	1719	0	161	3	2035
CNAG_02540	2	1116	3	1572	0	184	5	2872
CNAG_02541	0	60	14	3942	0	140	14	4142
CNAG_02542	1	133	3	912	0	89	4	1134
CNAG_02543	0	63	4	1536	0	58	4	1657
CNAG_02544	0	32	0	309	0	149	0	490
CNAG_02545	4	130	1	951	1	404	6	1485
CNAG_02546	0	47	0	657	1	233	1	937
CNAG_02547	0	70	13	6036	0	67	13	6173
CNAG_02548	1	596	0	1692	0	184	1	2472
CNAG_02549	0	149	5	2025	0	47	5	2221
CNAG_02550	0	208	0	483	0	136	0	827
CNAG_02551	0	58	0	219	0	592	0	869
CNAG_02552	1	165	1	2241	0	204	2	2610
CNAG_02553	0	82	1	909	0	46	1	1037
CNAG_02554	0	104	2	1620	0	65	2	1789
CNAG_02555	0	61	2	2289	0	175	2	2525
CNAG_02556	0	324	1	819	0	29	1	1172
CNAG_02557	0	51	3	1896	0	15	3	1962
CNAG_02558	0	76	1	480	0	220	1	776
CNAG_02561	0	98	6	1608	0	105	6	1811
CNAG_02562	1	80	1	1263	0	709	2	2052
CNAG_02563	1	101	3	3177	0	67	4	3345
CNAG_02564	0	37	0	1659	0	70	0	1766
CNAG_02565	0	47	9	2187	0	99	9	2333
CNAG_02566	1	409	4	2754	0	352	5	3515
CNAG_02567	0	36	1	885	0	131	1	1052
CNAG_02568	0	25	9	4848	0	111	9	4984
CNAG_02569	0	62	3	1032	0	74	3	1168
CNAG_02572	0	308	1	366	2	440	3	1114
CNAG_02573	0	227	0	1020	0	63	0	1310
CNAG_02574	0	62	2	3531	0	70	2	3663
CNAG_02575	3	105	1	621	1	390	5	1116
CNAG_02576	0	95	1	1533	0	327	1	1955
CNAG_02577	1	188	2	1128	1	241	4	1557
CNAG_02578	0	87	1	1731	1	142	2	1960
CNAG_02579	1	263	4	4632	0	149	5	5044
CNAG_02580	1	48	4	1506	0	119	5	1673
CNAG_02581	0	88	2	1812	0	65	2	1965
CNAG_02582	0	0	1	513	0	0	1	513
CNAG_02583	0	66	1	1428	1	98	2	1592
CNAG_02584	1	109	5	1089	0	194	6	1392
CNAG_02585	0	66	2	1446	3	772	5	2284
CNAG_02586	0	145	2	1608	2	202	4	1955
CNAG_02587	0	290	6	2649	0	59	6	2998
CNAG_02588	1	421	2	2097	0	143	3	2661
CNAG_02589	1	76	0	1107	1	313	2	1496
CNAG_02590	0	185	2	1815	0	97	2	2097
CNAG_02591	0	150	1	228	0	132	1	510
CNAG_02592	0	92	2	1065	0	217	2	1374
CNAG_02593	1	280	4	2274	0	209	5	2763
CNAG_02594	0	417	2	2055	0	205	2	2677
CNAG_02595	0	461	8	1323	0	57	8	1841
CNAG_02596	0	153	0	549	0	0	0	702
CNAG_02597	1	101	2	1824	0	155	3	2080
CNAG_02598	1	253	4	1593	0	69	5	1915
CNAG_02599	0	174	1	810	1	67	2	1051
CNAG_02600	3	217	2	1536	0	208	5	1961
CNAG_02601	0	372	2	354	1	105	3	831
CNAG_02602	0	473	4	1206	0	105	4	1784
CNAG_02603	0	392	7	1989	0	51	7	2432
CNAG_02604	0	304	3	2514	0	134	3	2952
CNAG_02605	0	53	3	1797	0	158	3	2008
CNAG_02606	4	279	1	2040	0	99	5	2418
CNAG_02609	0	57	1	1017	0	65	1	1139
CNAG_02654	1	134	2	6756	0	181	3	7071
CNAG_02655	0	95	1	1128	0	65	1	1288
CNAG_02656	0	99	1	762	0	164	1	1025
CNAG_02657	0	66	1	873	0	87	1	1026
CNAG_02658	1	1484	7	2205	0	289	8	3978
CNAG_02659	1	458	1	501	0	42	2	1001
CNAG_02660	0	0	0	1341	0	0	0	1341
CNAG_02661	1	215	1	804	0	348	2	1367
CNAG_02662	0	334	6	3558	0	245	6	4137
CNAG_02663	0	68	2	1293	0	221	2	1582
CNAG_02664	1	159	1	1614	0	1034	2	2807
CNAG_02665	4	193	5	2196	2	270	11	2659
CNAG_02666	2	83	1	1905	0	163	3	2151
CNAG_02667	0	140	2	2028	0	134	2	2302
CNAG_02670	0	90	4	2061	0	142	4	2293
CNAG_02671	0	201	2	2517	0	52	2	2770
CNAG_02672	0	79	1	1698	0	77	1	1854
CNAG_02673	1	129	3	1095	0	102	4	1326
CNAG_02674	0	90	8	1932	0	81	8	2103
CNAG_02675	2	341	4	3078	0	130	6	3549
CNAG_02676	0	116	4	1092	0	362	4	1570
CNAG_02677	2	174	0	1062	0	136	2	1372
CNAG_02678	3	160	0	825	0	198	3	1183
CNAG_02679	0	62	4	2019	0	192	4	2273
CNAG_02680	0	81	7	4611	0	138	7	4830
CNAG_02681	1	121	5	1632	0	193	6	1946
